AQI, Station_name, Time
127,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-28 20:00:00
151,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-28 21:00:00
154,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-28 22:00:00
156,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-28 23:00:00
159,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 00:00:00
166,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 01:00:00
169,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 02:00:00
169,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 03:00:00
172,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 04:00:00
174,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 05:00:00
181,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 07:00:00
178,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 09:00:00
188,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 10:00:00
184,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 11:00:00
179,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 12:00:00
174,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 13:00:00
175,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 14:00:00
176,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 15:00:00
178,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 16:00:00
181,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 17:00:00
184,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 18:00:00
192,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 22:00:00
199,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-29 23:00:00
205,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-30 00:00:00
209,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-30 01:00:00
213,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-30 02:00:00
214,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-30 03:00:00
215,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-30 04:00:00
215,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-30 05:00:00
195,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-30 07:00:00
194,"Vikas Sadan Gurgaon, Gurgaon, India",2023-11-30 08:00:00
