AQI,Station_name,Time
183,"Sector-51, Gurugram, India",2023-11-28 20:00:00
203,"Sector-51, Gurugram, India",2023-11-28 21:00:00
200,"Sector-51, Gurugram, India",2023-11-28 22:00:00
200,"Sector-51, Gurugram, India",2023-11-28 23:00:00
197,"Sector-51, Gurugram, India",2023-11-29 00:00:00
195,"Sector-51, Gurugram, India",2023-11-29 01:00:00
197,"Sector-51, Gurugram, India",2023-11-29 02:00:00
200,"Sector-51, Gurugram, India",2023-11-29 03:00:00
200,"Sector-51, Gurugram, India",2023-11-29 04:00:00
200,"Sector-51, Gurugram, India",2023-11-29 05:00:00
202,"Sector-51, Gurugram, India",2023-11-29 07:00:00
241,"Sector-51, Gurugram, India",2023-11-29 09:00:00
120,"Sector-51, Gurugram, India",2023-11-29 10:00:00
174,"Sector-51, Gurugram, India",2023-11-29 11:00:00
178,"Sector-51, Gurugram, India",2023-11-29 12:00:00
175,"Sector-51, Gurugram, India",2023-11-29 13:00:00
177,"Sector-51, Gurugram, India",2023-11-29 14:00:00
182,"Sector-51, Gurugram, India",2023-11-29 15:00:00
184,"Sector-51, Gurugram, India",2023-11-29 16:00:00
182,"Sector-51, Gurugram, India",2023-11-29 17:00:00
182,"Sector-51, Gurugram, India",2023-11-29 18:00:00
593,"Sector-51, Gurugram, India",2023-11-29 22:00:00
537,"Sector-51, Gurugram, India",2023-11-29 23:00:00
296,"Sector-51, Gurugram, India",2023-11-30 00:00:00
301,"Sector-51, Gurugram, India",2023-11-30 01:00:00
234,"Sector-51, Gurugram, India",2023-11-30 02:00:00
244,"Sector-51, Gurugram, India",2023-11-30 03:00:00
268,"Sector-51, Gurugram, India",2023-11-30 04:00:00
185,"Sector-51, Gurugram, India",2023-11-30 05:00:00
182,"Sector-51, Gurugram, India",2023-11-30 07:00:00
185,"Sector-51, Gurugram, India",2023-11-30 08:00:00
234,"Sector-51, Gurugram, India",2023-11-30 09:00:00
220,"Sector-51, Gurugram, India",2023-11-30 10:00:00
218,"Sector-51, Gurugram, India",2023-11-30 11:00:00
159,"Sector-51, Gurugram, India",2023-11-30 12:00:00
107,"Sector-51, Gurugram, India",2023-11-30 13:00:00
236,"Sector-51, Gurugram, India",2023-11-30 14:00:00
233,"Sector-51, Gurugram, India",2023-11-30 15:00:00
224,"Sector-51, Gurugram, India",2023-11-30 16:00:00
212,"Sector-51, Gurugram, India",2023-11-30 17:00:00
209,"Sector-51, Gurugram, India",2023-11-30 18:00:00
437,"Sector-51, Gurugram, India",2023-11-30 21:00:00
471,"Sector-51, Gurugram, India",2023-11-30 22:00:00
463,"Sector-51, Gurugram, India",2023-11-30 23:00:00
244,"Sector-51, Gurugram, India",2023-12-01 00:00:00
181,"Sector-51, Gurugram, India",2023-12-01 01:00:00
179,"Sector-51, Gurugram, India",2023-12-01 02:00:00
178,"Sector-51, Gurugram, India",2023-12-01 03:00:00
176,"Sector-51, Gurugram, India",2023-12-01 04:00:00
172,"Sector-51, Gurugram, India",2023-12-01 05:00:00
166,"Sector-51, Gurugram, India",2023-12-01 07:00:00
165,"Sector-51, Gurugram, India",2023-12-01 08:00:00
171,"Sector-51, Gurugram, India",2023-12-01 09:00:00
186,"Sector-51, Gurugram, India",2023-12-01 10:00:00
191,"Sector-51, Gurugram, India",2023-12-01 11:00:00
186,"Sector-51, Gurugram, India",2023-12-01 12:00:00
186,"Sector-51, Gurugram, India",2023-12-01 13:00:00
362,"Sector-51, Gurugram, India",2023-12-02 11:00:00
331,"Sector-51, Gurugram, India",2023-12-02 12:00:00
195,"Sector-51, Gurugram, India",2023-12-02 16:00:00
175,"Sector-51, Gurugram, India",2023-12-02 17:00:00
175,"Sector-51, Gurugram, India",2023-12-02 18:00:00
179,"Sector-51, Gurugram, India",2023-12-02 19:00:00
290,"Sector-51, Gurugram, India",2023-12-02 20:00:00
446,"Sector-51, Gurugram, India",2023-12-02 21:00:00
454,"Sector-51, Gurugram, India",2023-12-02 22:00:00
540,"Sector-51, Gurugram, India",2023-12-02 23:00:00
443,"Sector-51, Gurugram, India",2023-12-03 00:00:00
307,"Sector-51, Gurugram, India",2023-12-03 01:00:00
295,"Sector-51, Gurugram, India",2023-12-03 02:00:00
254,"Sector-51, Gurugram, India",2023-12-03 03:00:00
248,"Sector-51, Gurugram, India",2023-12-03 04:00:00
241,"Sector-51, Gurugram, India",2023-12-03 05:00:00
229,"Sector-51, Gurugram, India",2023-12-03 07:00:00
229,"Sector-51, Gurugram, India",2023-12-03 08:00:00
248,"Sector-51, Gurugram, India",2023-12-03 09:00:00
